Qty-1,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,XREF
1,"D1",,SMA-DIODE,B230A-13-F,Diodes-Incorporated,DK,B230A-FDICT-ND,DIODE SCHOTTKY 30V 2A SMA,REF43
4,"JP3, JP6, JP8, JP9",,SCREWTERMINAL-3.5MM-2,OSTTE020104,On Shore Technology Inc.,DK,ED2740-ND,TERMINAL BLOCK 3.5MM 2POS PCB,REF68
2,"JP10, JP5",,SCREWTERMINAL-3.5MM-4,OSTTE030104,On Shore Technology Inc.,DK,ED2741-ND,TERMINAL BLOCK 3.5MM 3POS PCB,REF69
3,"JP1, JP2, JP4",,SCREWTERMINAL-3.5MM-4,OSTTE040104,On Shore Technology Inc.,DK,ED2742-ND,TERMINAL BLOCK 3.5MM 4POS PCB,REF70
2,"Q1, Q2",,TO-92,PN2222ABU,Fairchild Semiconductor ,DK,PN2222AFS-ND,TRANSISTOR NPN TO92,REF75
1,"D2",,LED5MM,SSL-LX5093HD,Lumex,DK,67-1102-ND,LED RED DIFF 5MM ROUND T/H,REF73
2,"C3, C5",0.1uF,1206,12065C104KAT2A,AVX,DK,478-1556-1-ND,CERAMIC CAPACITOR 0.1UF 50V X7R 10% 1206,REF61
2,"C1, C2",0.01uF,1206,12065C103KAT2A,AVX,DK,478-1542-1-ND,MLCC CAPACITOR 0.01uF 50V X7R 10% 1206 FULL REEL,REF62
5,"R1, R2, R3, R4, R6",1k,1206,ERJ-8ENF1001V,Panasonic,DK,P1.00KFCT-ND,RES SMD 1K OHM 1% 1/4W 1206,REF74
2,"RV1, RV2",2k,3362U,3362U-1-202LF,Bourns Inc.,DK,3362U-202LF-ND,TRIMMER 2K OHM 0.5W PC PIN,REF72
1,"C4",100uF,CPOL-RADIAL-100UF-25V,EEU-FM1H101B,Panasonic Electronic Components,DK,P19712CT-ND,CAP ALUM 100UF 20% 50V RADIAL,REF76
1,"U$1",PHOTON_SMD,PHOTON_SMD,***PART# '*' NOT FOUND***,*,*,*,*,*
1,"JP7",POWER_JACKSLT,POWER_JACK_SLOT,PJ-202A,CUI Inc.,DK,CP-202A-ND,CONN PWR JACK 2X5.5MM KINKED PIN,REF71
1,"IC1",TJA1049,SO8,TJA1049T-118,NXP Semiconductors,DK,568-8682-1-ND,IC CAN TRANSEIVER HS 8SOIC,REF16
