Qty-1,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,XREF
0,JP2(DNP),,1X03_NO_SILK,***PART# '*' NOT FOUND***,*,*,*,*,*
1,JP1,,2X10_MOLEX_MX150,348302001,Molex,DK,WM12752-ND,MX150 RA HDR 2X10 ST BLK KEY A,REF77
1,D1,,SMA-DIODE,B230A-13-F,Diodes-Incorporated,DK,B230A-FDICT-ND,DIODE SCHOTTKY 30V 2A SMA,REF43
1,Q1,,TO-92-AMMO,PN2222ABU,Fairchild Semiconductor ,DK,PN2222AFS-ND,TRANSISTOR NPN TO92,REF75
2,"C3, C5",0.1uF,1206,12065C104KAT2A,AVX,DK,478-1556-1-ND,CERAMIC CAPACITOR 0.1UF 50V X7R 10% 1206,REF61
3,"C1, C2, C6",0.01uF,1206,12065C103KAT2A,AVX,DK,478-1542-1-ND,MLCC CAPACITOR 0.01uF 50V X7R 10% 1206 FULL REEL,REF62
4,"R1, R2, R3, R4",1k,1206,ERJ-8ENF1001V,Panasonic,DK,P1.00KFCT-ND,RES SMD 1K OHM 1% 1/4W 1206,REF74
3,"RV1, RV2, RV3",2k,3362U,3362U-1-202LF,Bourns Inc.,DK,3362U-202LF-ND,TRIMMER 2K OHM 0.5W PC PIN,REF72
1,C4,100uF,CPOL-RADIAL-100UF-25V,EEU-FM1H101B,Panasonic Electronic Components,DK,P19712CT-ND,CAP ALUM 100UF 20% 50V RADIAL,REF76
50,CONN_TERM,BOM-ENTRY,*,330122002,Molex,DK,WM3687CT-ND,TERM RCPT TIN 18-20AWG SLD,REF79
1,CONN_HOUSING,BOM-ENTRY,*,334722001,Molex,DK,WM4737-ND,CONN RCPT 20POS DUAL BLACK,REF78
1,ELECTRON,ELECTRON_WITH_STACKABLE_HEADERS,ELECTRON_STACKABLE,***PART# '*' NOT FOUND***,*,*,*,*,*
1,IC1,TJA1049,SO8,TJA1049T-118,NXP Semiconductors,DK,568-8682-1-ND,IC CAN TRANSEIVER HS 8SOIC,REF16
