Digi-Key Part No.,Manufacturer Name,Mfr Part No.,Customer Reference,Qty1,
*,*,*,ELECTRON/JP2,1,*** PART# '*' NOT FOUND : ELECTRON/JP2
3362U-202LF-ND,Bourns Inc.,3362U-1-202LF,RV1/RV2/RV3,3,
478-1542-1-ND,AVX,12065C103KAT2A,C1/C2/C6,3,
478-1556-1-ND,AVX,12065C104KAT2A,C3/C5,2,
WM3687CT-ND,Molex,330122002,CONN_TERM,1,
WM4737-ND,Molex,334722001,CONN_HOUSING,1,
WM12752-ND,Molex,348302001,JP1,1,
B230A-FDICT-ND,Diodes-Incorporated,B230A-13-F,D1,1,
P19712CT-ND,Panasonic Electronic Components,EEU-FM1H101B,C4,1,
P1.00KFCT-ND,Panasonic,ERJ-8ENF1001V,R1/R2/R3/R4,4,
PN2222AFS-ND,Fairchild Semiconductor ,PN2222ABU,Q1,1,
568-8682-1-ND,NXP Semiconductors,TJA1049T-118,IC1,1,
